country,moisture,altitude,target
Colombia,0.1200,1750.0000,fair
Colombia,0.1100,1775.0000,poor
Colombia,0.0000,1750.0000,poor
Colombia,0.0000,1750.0000,good
Colombia,0.1100,1900.0000,poor
Colombia,0.1100,1750.0000,good
Colombia,0.1100,442.0000,great
Colombia,0.0000,1775.0000,good
Colombia,0.0000,1750.0000,good
Colombia,0.1100,1750.0000,good
Colombia,0.1100,1625.0000,good
Colombia,0.0000,1900.0000,good
Colombia,0.1100,1750.0000,good
Colombia,0.1100,1750.0000,good
Colombia,0.1200,1775.0000,good
Colombia,0.1100,1775.0000,good
Colombia,0.1200,1775.0000,good
Colombia,0.1100,1850.0000,good
Colombia,0.0000,1750.0000,good
Colombia,0.1100,1750.0000,good
Colombia,0.1100,1775.0000,good
Colombia,0.0000,439.0000,good
Colombia,0.1100,442.0000,good
Colombia,0.1200,1813.0000,good
Colombia,0.0000,1650.0000,fair
Colombia,0.0000,1750.0000,good
Colombia,0.0000,1750.0000,good
Colombia,0.1100,1750.0000,fair
Colombia,0.1200,175.0000,good
Colombia,0.0000,1775.0000,fair
Colombia,0.1100,1775.0000,fair
Colombia,0.1100,1750.0000,good
Colombia,0.0000,1750.0000,fair
Colombia,0.1100,1775.0000,fair
Colombia,0.0000,1750.0000,fair
Colombia,0.1100,1775.0000,fair
Colombia,0.0000,1625.0000,good
Colombia,0.1100,1750.0000,good
Colombia,0.1100,1900.0000,fair
Colombia,0.0000,1775.0000,fair
Colombia,0.0000,1750.0000,fair
Colombia,0.0000,1750.0000,poor
Colombia,0.0000,1800.0000,great
Colombia,0.0000,1750.0000,great
Colombia,0.0000,1750.0000,great
Colombia,0.1200,1775.0000,great
Colombia,0.1100,1775.0000,great
Colombia,0.0000,1750.0000,great
Colombia,0.0000,1750.0000,good
Colombia,0.0000,1750.0000,great
Colombia,0.1100,1800.0000,good
Colombia,0.0000,1775.0000,good
Colombia,0.0000,1750.0000,good
Colombia,0.0000,1800.0000,good
Colombia,0.1100,1775.0000,good
Colombia,0.1200,1775.0000,good
Colombia,0.0000,1750.0000,good
Colombia,0.0000,1775.0000,fair
Colombia,0.0000,1750.0000,good
Colombia,0.0000,442.0000,fair
Colombia,0.0000,1775.0000,good
Colombia,0.1200,1775.0000,good
Colombia,0.0000,1775.0000,good
Colombia,0.1200,1530.0000,fair
Colombia,0.1100,1600.0000,good
Colombia,0.0000,1550.0000,fair
Colombia,0.0000,1600.0000,good
Colombia,0.1200,165.0000,fair
Colombia,0.0000,1750.0000,good
Colombia,0.1100,1775.0000,good
Colombia,0.1200,1775.0000,good
Colombia,0.1100,2560.0000,good
Colombia,0.0000,2527.0000,good
Colombia,0.0000,2560.0000,great
Colombia,0.0000,1200.0000,poor
Colombia,0.0000,1000.0000,good
Colombia,0.1100,1000.0000,good
Colombia,0.1100,1000.0000,good
Colombia,0.0000,1000.0000,good
Colombia,0.1200,1550.0000,great
Colombia,0.1200,1450.0000,fair
Colombia,0.1200,1550.0000,great
Colombia,0.0000,1550.0000,fair
Colombia,0.1200,1550.0000,good
Colombia,0.0000,1550.0000,good
Colombia,0.1100,1650.0000,good
Colombia,0.1100,1550.0000,great
Colombia,0.0000,1550.0000,great
Colombia,0.0000,1550.0000,good
Colombia,0.0000,1500.0000,good
Colombia,0.0000,1800.0000,fair
Colombia,0.0000,1625.0000,good
Colombia,0.1200,1200.0000,great
Costa Rica,0.1000,1100.0000,fair
Costa Rica,0.1100,1300.0000,fair
Costa Rica,0.1000,1300.0000,poor
Costa Rica,0.1100,1300.0000,poor
Costa Rica,0.1000,1300.0000,fair
Costa Rica,0.1100,1200.0000,good
Costa Rica,0.1000,1300.0000,poor
Costa Rica,0.1100,1200.0000,good
Costa Rica,0.1300,1500.0000,poor
Costa Rica,0.1200,1200.0000,poor
Costa Rica,0.1200,1200.0000,poor
Costa Rica,0.1100,1200.0000,poor
Costa Rica,0.1100,1300.0000,poor
Costa Rica,0.1100,1300.0000,great
Costa Rica,0.1000,1300.0000,good
Costa Rica,0.1200,1300.0000,good
Costa Rica,0.1100,1900.0000,fair
Costa Rica,0.0000,1900.0000,poor
Costa Rica,0.0000,1550.0000,poor
Costa Rica,0.1200,1900.0000,great
Costa Rica,0.1000,1150.0000,good
Costa Rica,0.1200,1750.0000,great
Costa Rica,0.1100,1700.0000,great
Costa Rica,0.1000,1300.0000,great
Costa Rica,0.0900,1700.0000,good
Costa Rica,0.0000,1850.0000,good
Costa Rica,0.0000,1850.0000,good
Costa Rica,0.1100,1850.0000,poor
Costa Rica,0.1100,185.0000,fair
Costa Rica,0.0000,1850.0000,fair
Costa Rica,0.0900,1850.0000,fair
Costa Rica,0.0900,1850.0000,fair
Costa Rica,0.1000,1850.0000,fair
Costa Rica,0.1200,1575.0000,great
Costa Rica,0.0000,1300.0000,fair
Costa Rica,0.0900,1300.0000,fair
Costa Rica,0.1100,1300.0000,fair
Costa Rica,0.1200,13.0000,fair
Costa Rica,0.1100,13.0000,poor
Costa Rica,0.1000,1200.0000,good
Costa Rica,0.0000,1300.0000,great
Costa Rica,0.1100,1200.0000,good
Costa Rica,0.0000,1300.0000,great
El Salvador,0.1100,1500.0000,great
El Salvador,0.1000,1500.0000,great
El Salvador,0.0000,1350.0000,great
El Salvador,0.1200,1500.0000,good
El Salvador,0.0000,1450.0000,poor
El Salvador,0.1100,1330.0000,fair
El Salvador,0.0000,1350.0000,fair
El Salvador,0.0000,1350.0000,fair
El Salvador,0.1100,1350.0000,great
El Salvador,0.0000,1250.0000,poor
El Salvador,0.0000,1250.0000,good
El Salvador,0.0000,1450.0000,poor
El Salvador,0.1100,1250.0000,good
El Salvador,0.0000,1250.0000,good
El Salvador,0.0000,1200.0000,good
Ethiopia,0.0900,1800.0000,great
Ethiopia,0.1200,2075.0000,great
Ethiopia,0.1200,2075.0000,great
Ethiopia,0.1200,2075.0000,great
Ethiopia,0.0000,2000.0000,good
Ethiopia,0.1000,1822.5000,great
Ethiopia,0.1000,1606.5000,great
Ethiopia,0.1100,2000.0000,great
Ethiopia,0.0300,1635.0000,great
Ethiopia,0.0300,1635.0000,great
Ethiopia,0.1000,1905.0000,great
Ethiopia,0.0500,1635.0000,great
Ethiopia,0.1000,1775.0000,great
Ethiopia,0.1200,1900.0000,great
Ethiopia,0.1200,1676.5000,good
Ethiopia,0.1000,1600.0000,good
Ethiopia,0.1000,1900.0000,great
Ethiopia,0.1000,1900.0000,great
Ethiopia,0.1100,1800.0000,good
Ethiopia,0.0100,1750.0000,great
Ethiopia,0.1000,1750.0000,great
Ethiopia,0.1000,1750.0000,great
Ethiopia,0.2000,1750.0000,good
Ethiopia,0.0900,1550.0000,good
Ethiopia,0.1000,1900.0000,great
Ethiopia,0.0000,1850.0000,good
Guatemala,0.1200,1524.0000,great
Guatemala,0.1000,1600.0000,great
Guatemala,0.1200,1524.0000,great
Guatemala,0.1000,1550.0000,good
Guatemala,0.1100,1500.0000,good
Guatemala,0.1100,1500.0000,good
Guatemala,0.1100,1500.0000,good
Guatemala,0.1000,1500.0000,good
Guatemala,0.1000,1500.0000,fair
Guatemala,0.1000,1500.0000,good
Guatemala,0.1100,1390.8024,fair
Guatemala,0.1100,1500.0000,fair
Guatemala,0.1000,1500.0000,great
Guatemala,0.1000,1500.0000,good
Guatemala,0.1000,1500.0000,good
Guatemala,0.1100,1500.0000,good
Guatemala,0.1100,1500.0000,good
Guatemala,0.1100,1500.0000,good
Guatemala,0.0900,1500.0000,fair
Guatemala,0.1000,1400.0000,fair
Guatemala,0.1000,1400.0000,good
Guatemala,0.1000,1524.0000,fair
Guatemala,0.1200,157.8864,good
Guatemala,0.1200,157.8864,fair
Guatemala,0.1100,1371.6000,good
Guatemala,0.1100,1383.7920,fair
Guatemala,0.1200,1859.2800,fair
Guatemala,0.1000,1356.6648,fair
Guatemala,0.1100,1706.8800,good
Guatemala,0.1000,1676.4000,fair
Guatemala,0.1100,1731.2640,great
Guatemala,0.0000,1400.0000,great
Guatemala,0.1000,1099.4136,great
Guatemala,0.1100,1116.7872,good
Guatemala,0.1200,1706.8800,great
Guatemala,0.1100,1128.3696,good
Guatemala,0.1200,1706.8800,poor
Guatemala,0.1100,1770.0000,good
Guatemala,0.0900,1700.0000,fair
Guatemala,0.1100,1752.6000,good
Guatemala,0.1100,1752.6000,fair
Guatemala,0.1300,1524.0000,fair
Guatemala,0.1200,1524.0000,good
Guatemala,0.1100,1524.0000,great
Guatemala,0.1200,1524.0000,fair
Guatemala,0.1000,1371.6000,good
Guatemala,0.1000,3280.0000,fair
Guatemala,0.0900,3280.0000,poor
Guatemala,0.1000,3280.0000,great
Guatemala,0.1000,1417.3199,great
Guatemala,0.1100,1550.0000,good
Guatemala,0.1100,1550.0000,good
Guatemala,0.1100,1550.0000,poor
Guatemala,0.1000,1417.3199,poor
Guatemala,0.1100,1450.0000,fair
Guatemala,0.1100,2100.0000,good
Guatemala,0.1100,1320.0000,poor
Guatemala,0.1100,1200.0000,poor
Guatemala,0.1000,1219.2000,great
Guatemala,0.1000,1219.2000,good
Guatemala,0.1000,1219.2000,great
Guatemala,0.1000,1219.2000,great
Guatemala,0.1100,1310.6400,great
Guatemala,0.0900,1219.2000,great
Guatemala,0.1100,1310.6400,great
Guatemala,0.1100,1310.6400,good
Guatemala,0.1000,1219.2000,great
Guatemala,0.1100,1310.6400,great
Guatemala,0.1200,1310.6400,good
Guatemala,0.1100,1310.6400,good
Guatemala,0.1100,1310.6400,great
Guatemala,0.1000,1219.2000,good
Guatemala,0.0000,1402.0800,fair
Guatemala,0.1100,1310.6400,fair
Guatemala,0.1100,1310.6400,good
Guatemala,0.1100,1310.6400,good
Guatemala,0.1000,1901.0000,good
Guatemala,0.1200,1650.0000,good
Guatemala,0.1100,1310.6400,great
Guatemala,0.0000,1402.0800,fair
Guatemala,0.1000,157.8864,fair
Guatemala,0.1100,1310.6400,good
Guatemala,0.1200,1310.6400,poor
Guatemala,0.1200,1310.6400,poor
Guatemala,0.1100,1219.2000,poor
Guatemala,0.1000,1901.0000,good
Guatemala,0.1100,1310.6400,poor
Guatemala,0.1100,1219.2000,good
Guatemala,0.1100,1310.6400,good
Guatemala,0.1000,1219.2000,good
Guatemala,0.1000,1219.2000,fair
Guatemala,0.1000,1219.2000,fair
Guatemala,0.1200,1310.6400,fair
Guatemala,0.1100,1310.6400,good
Guatemala,0.1200,1310.6400,fair
Guatemala,0.1000,1310.6400,good
Guatemala,0.0000,1402.0800,poor
Guatemala,0.1000,1901.0000,fair
Guatemala,0.1100,1310.6400,poor
Guatemala,0.1100,1310.6400,poor
Guatemala,0.1000,1219.2000,fair
Guatemala,0.1100,1310.6400,poor
Guatemala,0.1000,1219.2000,poor
Guatemala,0.1200,1310.6400,poor
Guatemala,0.1100,1310.6400,poor
Guatemala,0.1100,1310.6400,poor
Guatemala,0.1100,1310.6400,poor
Guatemala,0.1100,1310.6400,poor
Guatemala,0.1100,1310.6400,poor
Guatemala,0.1100,1310.6400,good
Guatemala,0.1100,1310.6400,poor
Guatemala,0.1100,1450.0000,great
Guatemala,0.1100,1400.0000,poor
Guatemala,0.1200,1450.0000,poor
Guatemala,0.1200,1350.0000,good
Guatemala,0.1000,1219.2000,poor
Guatemala,0.1200,1219.2000,poor
Guatemala,0.1200,1219.2000,poor
Guatemala,0.1000,1219.2000,poor
Guatemala,0.1000,1219.2000,poor
Guatemala,0.1000,1219.2000,poor
Guatemala,0.1200,1219.2000,fair
Guatemala,0.1100,1219.2000,poor
Guatemala,0.1100,1300.0000,good
Guatemala,0.1000,1524.0000,fair
Guatemala,0.1100,1524.0000,poor
Guatemala,0.1000,1550.0000,fair
Guatemala,0.1200,1550.0000,poor
Guatemala,0.1100,1700.0000,fair
Guatemala,0.1000,1700.0000,fair
Guatemala,0.1000,1700.0000,good
Guatemala,0.1300,1700.0000,great
Guatemala,0.1100,1700.0000,good
Guatemala,0.1100,1700.0000,good
Guatemala,0.1000,1700.0000,fair
Guatemala,0.1200,1700.0000,good
Guatemala,0.1000,1700.0000,poor
Guatemala,0.1000,1700.0000,good
Guatemala,0.1000,1371.6000,poor
Guatemala,0.0900,1524.0000,great
Guatemala,0.1200,1219.2000,poor
Guatemala,0.1000,1219.2000,good
Guatemala,0.1000,1219.2000,fair
Guatemala,0.1000,1219.2000,fair
Guatemala,0.1100,1219.2000,fair
Guatemala,0.1000,1100.0000,good
Guatemala,0.1100,1800.0000,good
Guatemala,0.1000,1500.0000,poor
Guatemala,0.1000,1565.0000,great
Haiti,0.1400,350.0000,poor
Haiti,0.1100,825.0000,poor
Haiti,0.1000,825.0000,poor
Haiti,0.1200,1000.0000,poor
Haiti,0.1100,1280.1600,fair
Honduras,0.1300,1450.0000,poor
Honduras,0.1300,1450.0000,poor
Honduras,0.1100,1500.0000,great
Honduras,0.1000,1350.0000,fair
Honduras,0.1100,1350.0000,good
Honduras,0.0900,1400.0000,fair
Honduras,0.1000,1350.0000,fair
Honduras,0.1000,1400.0000,poor
Honduras,0.1000,1400.0000,poor
Honduras,0.1000,1400.0000,fair
Honduras,0.1100,1500.0000,fair
Honduras,0.1000,1400.0000,fair
Honduras,0.1000,1500.0000,great
Honduras,0.1000,1400.0000,good
Honduras,0.1000,1396.0000,good
Honduras,0.1100,1500.0000,fair
Honduras,0.1200,1400.0000,fair
Honduras,0.1200,1500.0000,good
Honduras,0.1200,1600.0000,fair
Honduras,0.1000,1600.0000,fair
Honduras,0.1100,1350.0000,poor
Honduras,0.1100,1350.0000,poor
Honduras,0.1100,1350.0000,poor
Honduras,0.1100,1350.0000,poor
Honduras,0.1100,1400.0000,poor
Honduras,0.1000,1450.0000,poor
Honduras,0.1000,1450.0000,poor
Honduras,0.1000,1450.0000,poor
Honduras,0.1100,1350.0000,fair
Honduras,0.1100,1350.0000,fair
Honduras,0.1200,1400.0000,fair
Honduras,0.1100,1450.0000,fair
Honduras,0.1200,1400.0000,poor
Honduras,0.0900,1350.0000,fair
Honduras,0.1200,1400.0000,poor
Honduras,0.0900,1350.0000,poor
Honduras,0.1100,1450.0000,good
Honduras,0.1100,1450.0000,good
Honduras,0.1100,1400.0000,poor
Honduras,0.1100,1400.0000,poor
Honduras,0.1100,1650.0000,poor
Honduras,0.1100,1650.0000,poor
Honduras,0.1000,1450.0000,fair
Honduras,0.1200,1450.0000,poor
Honduras,0.1200,1350.0000,poor
Honduras,0.1100,1450.0000,poor
Honduras,0.1100,1200.0000,fair
Indonesia,0.1300,1250.0000,good
Indonesia,0.1500,1300.0000,fair
Indonesia,0.1100,1250.0000,good
Indonesia,0.1300,1500.0000,good
Indonesia,0.1200,1400.0000,good
Indonesia,0.1300,1300.0000,poor
Indonesia,0.1200,1400.0000,poor
Indonesia,0.1200,3500.0000,poor
Indonesia,0.1100,1300.0000,fair
Indonesia,0.1100,1325.0000,great
Indonesia,0.1200,1500.0000,good
Indonesia,0.0300,1500.0000,great
Indonesia,0.0000,1400.0000,good
Indonesia,0.1300,1350.0000,fair
Indonesia,0.1200,1200.0000,great
Kenya,0.0000,1200.0000,great
Kenya,0.0000,1650.0000,good
Kenya,0.0000,1600.0000,great
Kenya,0.0000,1200.0000,great
Kenya,0.0000,1580.0000,great
Kenya,0.0800,250.5000,good
Kenya,0.1000,250.5000,good
Kenya,0.1100,1600.0000,good
Kenya,0.1100,1860.0000,great
Kenya,0.1100,1500.0000,poor
Kenya,0.1000,1900.0000,great
Kenya,0.1100,1700.0000,good
Kenya,0.1200,1800.0000,great
Kenya,0.1000,1800.0000,great
Kenya,0.1100,1754.0000,great
Kenya,0.1100,2000.0000,great
Kenya,0.1100,2000.0000,great
Kenya,0.1100,1800.0000,good
Kenya,0.1100,1800.0000,good
Kenya,0.1000,1754.0000,good
Kenya,0.1300,1800.0000,great
Kenya,0.1100,1754.0000,good
Laos,0.1200,1250.0000,fair
Laos,0.1300,1300.0000,good
Laos,0.0000,1300.0000,poor
Malawi,0.1300,1556.0000,fair
Malawi,0.1300,1100.0000,fair
Malawi,0.1200,1599.0000,fair
Malawi,0.1200,1422.0000,poor
Malawi,0.1300,1200.0000,poor
Malawi,0.1200,1442.0000,good
Malawi,0.1200,1450.0000,good
Malawi,0.1300,1180.0000,fair
Malawi,0.1300,2500.0000,fair
Malawi,0.1200,995.0000,poor
Malawi,0.1200,995.0000,poor
Mexico,0.0000,1100.0000,good
Mexico,0.1200,1000.0000,good
Mexico,0.1400,12.0000,poor
Mexico,0.1200,1600.0000,fair
Mexico,0.1100,1100.0000,fair
Mexico,0.1200,1200.0000,great
Mexico,0.1100,1200.0000,great
Mexico,0.1600,533.0000,good
Mexico,0.1100,808.0000,poor
Mexico,0.1000,900.0000,fair
Mexico,0.1300,981.0000,fair
Mexico,0.1200,1300.0000,fair
Mexico,0.1200,1300.0000,good
Mexico,0.1200,1300.0000,good
Mexico,0.1200,1300.0000,poor
Mexico,0.1300,1022.0000,poor
Mexico,0.1200,1300.0000,poor
Mexico,0.1100,1425.0000,fair
Mexico,0.1200,1200.0000,good
Mexico,0.0000,1600.0000,good
Mexico,0.1200,1550.0000,good
Mexico,0.1200,1560.0000,fair
Mexico,0.1100,1500.0000,good
Mexico,0.1200,1700.0000,poor
Mexico,0.1200,1200.0000,good
Mexico,0.1200,1200.0000,good
Mexico,0.1100,940.0000,poor
Mexico,0.1100,940.0000,good
Mexico,0.1400,1140.0000,poor
Mexico,0.1100,1200.0000,good
Mexico,0.1200,1250.0000,poor
Mexico,0.1100,1200.0000,great
Mexico,0.1200,1250.0000,poor
Mexico,0.1100,1250.0000,poor
Mexico,0.1200,1250.0000,poor
Mexico,0.1300,1300.0000,poor
Mexico,0.1300,1100.0000,poor
Mexico,0.1200,1250.0000,poor
Mexico,0.1200,1250.0000,poor
Mexico,0.1100,750.0000,good
Mexico,0.1400,1300.0000,good
Mexico,0.1300,1300.0000,good
Mexico,0.1100,1250.0000,fair
Mexico,0.0000,1264.0000,poor
Mexico,0.1200,1100.0000,poor
Mexico,0.1300,1100.0000,fair
Mexico,0.1000,1300.0000,good
Mexico,0.1200,1150.0000,good
Mexico,0.1000,1200.0000,good
Mexico,0.1100,1050.0000,poor
Mexico,0.1200,940.0000,poor
Mexico,0.1200,1261.0000,good
Mexico,0.1300,1059.0000,good
Mexico,0.1200,1200.0000,poor
Mexico,0.1300,1200.0000,good
Mexico,0.1400,1300.0000,poor
Mexico,0.1200,1450.0000,fair
Mexico,0.1200,1000.0000,fair
Mexico,0.1200,1000.0000,good
Mexico,0.1300,1280.0000,poor
Mexico,0.1300,700.0000,good
Mexico,0.1300,763.0000,poor
Mexico,0.1400,690.0000,fair
Mexico,0.1200,1350.0000,great
Mexico,0.1200,1300.0000,poor
Mexico,0.1300,1186.0000,poor
Mexico,0.1100,1100.0000,poor
Mexico,0.1100,1500.0000,great
Mexico,0.1500,441.0000,good
Mexico,0.1100,900.0000,poor
Mexico,0.1200,1250.0000,good
Mexico,0.1000,1400.0000,great
Mexico,0.1100,1400.0000,fair
Mexico,0.1200,1550.0000,fair
Mexico,0.1200,1550.0000,poor
Mexico,0.1200,1550.0000,good
Mexico,0.1300,1550.0000,poor
Mexico,0.1200,1550.0000,poor
Mexico,0.1100,1600.0000,fair
Mexico,0.1000,1400.0000,fair
Mexico,0.1100,1300.0000,good
Mexico,0.1100,1650.0000,good
Mexico,0.1100,1650.0000,fair
Mexico,0.1100,1380.0000,good
Mexico,0.1200,1300.0000,fair
Mexico,0.1200,1650.0000,fair
Mexico,0.1200,1400.0000,fair
Mexico,0.1200,1400.0000,fair
Mexico,0.1300,1150.0000,poor
Mexico,0.1100,1380.0000,good
Mexico,0.1200,1400.0000,poor
Mexico,0.1200,1400.0000,poor
Mexico,0.1200,1300.0000,poor
Mexico,0.1100,1500.0000,good
Mexico,0.1400,1400.0000,great
Mexico,0.1100,1296.0000,good
Mexico,0.1100,1296.0000,fair
Mexico,0.0000,1400.0000,great
Mexico,0.1300,1200.0000,poor
Mexico,0.1200,950.0000,good
Mexico,0.1100,1000.0000,fair
Mexico,0.1400,850.0000,poor
Mexico,0.1300,1210.0000,poor
Mexico,0.1200,950.0000,poor
Mexico,0.1200,1100.0000,poor
Mexico,0.1200,850.0000,poor
Mexico,0.1200,1200.0000,poor
Mexico,0.1200,1500.0000,fair
Mexico,0.1100,1100.0000,fair
Mexico,0.1100,1100.0000,poor
Mexico,0.1100,1200.0000,poor
Mexico,0.1000,1250.0000,good
Mexico,0.1100,1200.0000,poor
Mexico,0.1200,1350.0000,poor
Mexico,0.1000,1218.0000,great
Mexico,0.1000,1248.0000,good
Mexico,0.1100,1248.0000,poor
Mexico,0.1000,1050.0000,poor
Mexico,0.1000,1050.0000,poor
Mexico,0.1300,1250.0000,good
Mexico,0.1100,940.0000,good
Mexico,0.1400,1089.0000,good
Mexico,0.1300,1679.0000,good
Mexico,0.1500,1144.0000,good
Mexico,0.1300,1650.0000,fair
Mexico,0.1300,700.0000,fair
Mexico,0.1100,1100.0000,poor
Mexico,0.1300,1400.0000,good
Mexico,0.1200,1450.0000,great
Mexico,0.1000,1400.0000,good
Mexico,0.1100,1300.0000,good
Mexico,0.1100,1642.0000,poor
Mexico,0.1100,1480.0000,good
Mexico,0.1200,1300.0000,poor
Mexico,0.0000,1200.0000,poor
Mexico,0.0000,1400.0000,good
Mexico,0.1000,1600.0000,poor
Mexico,0.1100,1600.0000,great
Mexico,0.1200,1000.0000,poor
Mexico,0.0000,1600.0000,poor
Mexico,0.0000,1550.0000,poor
Mexico,0.1100,1550.0000,fair
Mexico,0.1000,1200.0000,poor
Mexico,0.1000,1200.0000,poor
Mexico,0.1300,1250.0000,fair
Mexico,0.1200,900.0000,great
Mexico,0.1300,1800.0000,poor
Mexico,0.1300,1800.0000,fair
Mexico,0.1300,1800.0000,fair
Mexico,0.1300,1400.0000,poor
Mexico,0.1200,1100.0000,poor
Mexico,0.1300,774.0000,fair
Mexico,0.1300,975.0000,poor
Mexico,0.1200,1250.0000,poor
Mexico,0.1200,1250.0000,poor
